id,created_at,text,user,screen_name,friends_count,followers_count,retweet_count,favorite_count
1115344014402834432,2019-04-08 20:01:49,How to Use Artificial Intelligence to Build a Stronger Business Network https://t.co/BNJg9C6BVv #ai #ml #dl,AI News Feed,AINewsFeed,4171,5687,0,0
1115343851277799424,2019-04-08 20:01:10,RT @MedAppsAB: #FDA Outlines Plans for #Medical Devices with #ArtificialIntelligence | #HealthTech #EHR #HealthData #DigitalHealth #AI #ML…,BMM on Health and Tech,datadrivencare,2990,2999,3,0
1115343665025691648,2019-04-08 20:00:26,"7 Indicators Of The State-Of-Artificial Intelligence (AI), March 2019 https://t.co/m3ocf1EjF4… https://t.co/8bLUaE9RhY",Diwork Soluciones TI,DiWorkBsAs,2057,2010,0,0
1115343660441317376,2019-04-08 20:00:25,"From Deep Learning To Data Science: Everything You Need To Know. 

#DeepLearning #MachineLearning #ML #MLtools… https://t.co/UJDaMyUQ8h",Calsoft Inc,Calsoft_Data,141,45,0,0
1115343636751949824,2019-04-08 20:00:19,"RT @BigData_Joe: #CyberSecurity Expert Shortage [#infographic] 

#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #BigData #T…",Danutė Mozgerienė,AngryMatilda,329,255,11,0
1115343636433133568,2019-04-08 20:00:19,"Guide to #RecommenderSystem
https://t.co/RHzr7O08wv

#abo via @SlideShare #AI #UX #UserExperience #MachineLearing #ML",Amancio Bouza,AmancioBouza,5048,8208,0,0
1115343563011842052,2019-04-08 20:00:02,"RT @Ronald_vanLoon: World's fastest supercomputer
by @nowthisnews |

#MachineLearning #ML #NeuralNetworks #DeepLearning #DL #DataScience #A…",Marya Yaqin,marya1986,8182,9249,48,0
1115343537027993600,2019-04-08 19:59:55,"RT @naya12340: Ada promo khusus mlm ini say
Wa 0859121618596
#pijatsensual #bo #pijatjogjakarta #ML #Toge #Jogja #newbie #openbojogja #Open…",bejoz,bejoz13,266,19,1,0
1115343285172592640,2019-04-08 19:58:55,"RT @AudreyDesisto: Robot bees to help astronauts on space station 
https://t.co/IjPcewIcal via @ZDNet &amp; @gcnichs
#robots #ML #tech #TechNew…",Jeremy Laurin,JeremyLaurinOCE,241,493,4,0
1115342945098579974,2019-04-08 19:57:34,"RT @DrDJLlewellyn: #MachineLearning #ML #AI for #dementia #datathon at @UniofExeter. Apply now!

https://t.co/KtS6lfSPtm 

Travel awards av…",Gavin Buckingham,DrGBuckingham,2259,2676,18,0
1115342934147313665,2019-04-08 19:57:32,RT @TrenntC: Check out ⁦@Google⁩ Stadia's machine learning potential with this slick GIF #ML #AI  https://t.co/UtFbVe2sWb,Helene Kiley,raffsofttermtin,24,5,2,0
1115342861812338688,2019-04-08 19:57:14,"RT @NarenNagpal: Fourth best kept secret of #AI industry is that it is actually the data which is most important part of any #AISystem!
@Na…",EmpireNames,Empire_Names,202,485,1,0
1115342752177426434,2019-04-08 19:56:48,Machine Learning Archives - Just Security https://t.co/OGicTjxXXm #ai #ml #dl,AI News Feed,AINewsFeed,4171,5687,0,0
1115342691523538945,2019-04-08 19:56:34,"Motif and Goldman Sachs launch new, co-branded indices for better performing #ETFs powered by #MachineLearning… https://t.co/wJURrM7hDs",Dr. Vincenzo Chiochia,chiochia,3728,4388,0,0
1115342363533168641,2019-04-08 19:55:16,RT @ExponentialMed: A novel #AI + #ML #MedEd platform for enabling #surgery... measures and provides feedback to surgeons https://t.co/1O7l…,Jose Reinan Ramos,josereinanramo1,356,164,9,0
