id,created_at,text,user,screen_name,friends_count,followers_count,retweet_count,favorite_count,Hashtags
1118678264581505024,2019-04-18 00:50:56,#AI #education https://t.co/nvh7t1jMjf,Carol Tonhauser,cmt1,3101,4656,0,0,"[{'text': 'AI', 'indices': [0, 3]}, {'text': 'education', 'indices': [4, 14]}]"
1118678197829361664,2019-04-18 00:50:41,"RT DeepLearn007 ""RT DeepLearn007: An Excellent Read: A Deep Dive into #DeepLearning
SpirosMargaris JimMarous Xbond49 psb_dc TheRudinGroup ahier pierrepinna RosyCoaching  ipfconline1 TopCyberNews #AI #MachineLearning #BigData #Datascience #Fintech #Ma… https://t.co/pecMWmEnx6""",Mahavira Paris,ParisMahavira,132,175,0,0,"[{'text': 'DeepLearning', 'indices': [70, 83]}, {'text': 'AI', 'indices': [195, 198]}, {'text': 'MachineLearning', 'indices': [199, 215]}, {'text': 'BigData', 'indices': [216, 224]}, {'text': 'Datascience', 'indices': [225, 237]}, {'text': 'Fintech', 'indices': [238, 246]}, {'text': 'Ma', 'indices': [247, 250]}]"
1118678194712915969,2019-04-18 00:50:40,"RT DeepLearn007 ""RT DeepLearn007: Top #AI Influencers In 2019, Thank you 
geoffreyhinton kdnuggets SpirosMargaris Xbond49 ahier JimMarous TheRudinGroup psb_dc ipfconline1 pierrepinna RosyCoaching TopCyberNews #MachineLearning #DeepLearning #BigData #… https://t.co/w54EWBBZPh""",Mahavira Paris,ParisMahavira,132,175,0,0,"[{'text': 'AI', 'indices': [38, 41]}, {'text': 'MachineLearning', 'indices': [209, 225]}, {'text': 'DeepLearning', 'indices': [226, 239]}, {'text': 'BigData', 'indices': [240, 248]}]"
1118678131743711233,2019-04-18 00:50:25,"📝働き方改革を意識した日テレ最新テクノロジーが集結【日テク2019】＜前編＞

「日テレ×テクノロジー×働き方改革」をテーマに“テクノロジーがテレビにもたらす可能性を実感できる”各種技術的な取り組みが紹介
#日本テレビ  #アオイエリカ #AI  #まりめろ
@Marimero_Kimono
https://t.co/RjxtAUfS7L",Screens,screens_lab,10,230,0,0,"[{'text': '日本テレビ', 'indices': [103, 109]}, {'text': 'アオイエリカ', 'indices': [111, 118]}, {'text': 'AI', 'indices': [119, 122]}, {'text': 'まりめろ', 'indices': [124, 129]}]"
1118677974574825472,2019-04-18 00:49:47,Check out today’s news on @GlasswingVC portfolio company @Verusen_AI being selected for @Futureaccel – they’ll be working with Emirates Airlines to help solve its inventory management challenge #AI #startup https://t.co/qKrRkQV6z6,Katharine Panessidi,KatPan,2231,1384,0,0,"[{'text': 'AI', 'indices': [194, 197]}, {'text': 'startup', 'indices': [198, 206]}]"
1118677850683523073,2019-04-18 00:49:18,"12 excellent selected articles on #DataScience at @DataScienceCtrl https://t.co/Sw6sc5OYXw 

#BigData #abdsc #MachineLearning #DeepLearning #AI #Statistics #DataViz #DataScientists #Python #Rstats #Coding https://t.co/YF2f6IAmkh",Kirk Borne,KirkDBorne,21488,228183,0,1,"[{'text': 'DataScience', 'indices': [34, 46]}, {'text': 'BigData', 'indices': [93, 101]}, {'text': 'abdsc', 'indices': [102, 108]}, {'text': 'MachineLearning', 'indices': [109, 125]}, {'text': 'DeepLearning', 'indices': [126, 139]}, {'text': 'AI', 'indices': [140, 143]}, {'text': 'Statistics', 'indices': [144, 155]}, {'text': 'DataViz', 'indices': [156, 164]}, {'text': 'DataScientists', 'indices': [165, 180]}, {'text': 'Python', 'indices': [181, 188]}, {'text': 'Rstats', 'indices': [189, 196]}, {'text': 'Coding', 'indices': [197, 204]}]"
1118677848112365569,2019-04-18 00:49:17,"Key Words: This is ‘the stupidest comment’ Suze Orman has ever read Ben Carlson, portfolio manager at Ritholtz Wealth Management and “A Wealth of Common Sense” blogger, this week compared some of the biggest names in personal fin... https://t.co/lztnvoxzl6 #ai #business #bigdata",MoneyHealth &Finance,MoneyhealthF,7373,8346,0,0,"[{'text': 'ai', 'indices': [257, 260]}, {'text': 'business', 'indices': [261, 270]}, {'text': 'bigdata', 'indices': [271, 279]}]"
1118677766159962113,2019-04-18 00:48:58,"#Analyticship:#BI,#AI,#BigData,#Analytics,#HiEd:
Getting Ahead of the Competition with a Digital Workforce https://t.co/yST1U7SB9k via @TechNative","Patrick Walker, MPA 🐺",METAMORF_US,15074,15590,0,0,"[{'text': 'Analyticship', 'indices': [0, 13]}, {'text': 'BI', 'indices': [14, 17]}, {'text': 'AI', 'indices': [18, 21]}, {'text': 'BigData', 'indices': [22, 30]}, {'text': 'Analytics', 'indices': [31, 41]}, {'text': 'HiEd', 'indices': [42, 47]}]"
1118677642851622912,2019-04-18 00:48:28,IoT professional? Share latest #IoT #news in Internet of Things Daily: https://t.co/KO5kcUkQar via @TheWriteCure #internetofthings #Cloud #iot #ai,Anya Sage,TheWriteCure,4925,3433,0,0,"[{'text': 'IoT', 'indices': [31, 35]}, {'text': 'news', 'indices': [36, 41]}, {'text': 'internetofthings', 'indices': [113, 130]}, {'text': 'Cloud', 'indices': [131, 137]}, {'text': 'iot', 'indices': [138, 142]}, {'text': 'ai', 'indices': [143, 146]}]"
1118677633070456833,2019-04-18 00:48:26,"RT DeepLearn007 ""RT DeepLearn007: Top #AI Influencers In 2019, Thank you 
geoffreyhinton kdnuggets SpirosMargaris Xbond49 ahier JimMarous TheRudinGroup psb_dc ipfconline1 pierrepinna RosyCoaching TopCyberNews #MachineLearning #DeepLearning #BigData #… https://t.co/x0iliKqEnq""",Marco Park,MarcoPark21,117,213,0,0,"[{'text': 'AI', 'indices': [38, 41]}, {'text': 'MachineLearning', 'indices': [209, 225]}, {'text': 'DeepLearning', 'indices': [226, 239]}, {'text': 'BigData', 'indices': [240, 248]}]"
