id,created_at,text,user,screen_name,friends_count,followers_count,retweet_count,favorite_count,Hashtags
1118679157972430849,2019-04-18 00:54:29,These two usecases that are driving #innovation in the #banking sector using #EmergingTech. #ML #AI #DataScience #data #MachineLearning #artificialintelligence #bigdata #Analytics cc @SAPANZ @SAPLeonardo @SAPAnalytics @SAP_APJ @ChrstnKlein @mikeflannagan https://t.co/4dYCCC9CQg https://t.co/VN9OOYuXq1,Shailendra Kumar,meisshaily,15532,17631,0,0,"[{'text': 'innovation', 'indices': [36, 47]}, {'text': 'banking', 'indices': [55, 63]}, {'text': 'EmergingTech', 'indices': [77, 90]}, {'text': 'ML', 'indices': [92, 95]}, {'text': 'AI', 'indices': [96, 99]}, {'text': 'DataScience', 'indices': [100, 112]}, {'text': 'data', 'indices': [113, 118]}, {'text': 'MachineLearning', 'indices': [119, 135]}, {'text': 'artificialintelligence', 'indices': [136, 159]}, {'text': 'bigdata', 'indices': [160, 168]}, {'text': 'Analytics', 'indices': [169, 179]}]"
1118678773363298304,2019-04-18 00:52:58,"RT DeepLearn007: An Excellent Read: A Deep Dive into #DeepLearning
SpirosMargaris JimMarous Xbond49 psb_dc TheRudinGroup ahier pierrepinna RosyCoaching  ipfconline1 TopCyberNews #AI #MachineLearning #BigData #Datascience #Fintech #Marketing #HealthTech #DL #tech 
…",EditEngine,Edit_Engine,681,223,0,0,"[{'text': 'DeepLearning', 'indices': [53, 66]}, {'text': 'AI', 'indices': [178, 181]}, {'text': 'MachineLearning', 'indices': [182, 198]}, {'text': 'BigData', 'indices': [199, 207]}, {'text': 'Datascience', 'indices': [208, 220]}, {'text': 'Fintech', 'indices': [221, 229]}, {'text': 'Marketing', 'indices': [230, 240]}, {'text': 'HealthTech', 'indices': [241, 252]}, {'text': 'DL', 'indices': [253, 256]}, {'text': 'tech', 'indices': [257, 262]}]"
1118678551245524993,2019-04-18 00:52:05,"HT KirkDBorne: 12 excellent selected articles on #DataScience at DataScienceCtrl https://t.co/hvPCYf9KB8 

#BigData #abdsc #MachineLearning #DeepLearning #AI #Statistics #DataViz #DataScientists #Python #Rstats #Coding https://t.co/YaFA3O4v7N","Adam Gabriel, #TOP🔝 #Influencer📡",THEAdamGabriel,49,25179,2,1,"[{'text': 'DataScience', 'indices': [49, 61]}, {'text': 'BigData', 'indices': [107, 115]}, {'text': 'abdsc', 'indices': [116, 122]}, {'text': 'MachineLearning', 'indices': [123, 139]}, {'text': 'DeepLearning', 'indices': [140, 153]}, {'text': 'AI', 'indices': [154, 157]}, {'text': 'Statistics', 'indices': [158, 169]}, {'text': 'DataViz', 'indices': [170, 178]}, {'text': 'DataScientists', 'indices': [179, 194]}, {'text': 'Python', 'indices': [195, 202]}, {'text': 'Rstats', 'indices': [203, 210]}, {'text': 'Coding', 'indices': [211, 218]}]"
1118678549366439936,2019-04-18 00:52:04,How to Predict using Logistic Regression in Python ? 7 Steps https://t.co/wPsOYZuUry #BigData #DataScience https://t.co/0PVoN680Sl,SB #5G #HM19,amruthasuri,2424,3263,0,0,"[{'text': 'BigData', 'indices': [85, 93]}, {'text': 'DataScience', 'indices': [94, 106]}]"
1118678548611522560,2019-04-18 00:52:04,"HT KirkDBorne: How the #IoT Brings #SmartCities to Life: https://t.co/ZWkAc3Ejj2 
————

#BigData #DataScience #abdsc #EdgeAnalytics #PredictiveAnalytics #AI #MachineLearning #IIoT #ConnectedProducts #SmartHomes #DigitalTransformation #Sensors #EmergingT… https://t.co/UVyaDH4X2d","Adam Gabriel, #TOP🔝 #Influencer📡",THEAdamGabriel,49,25179,3,2,"[{'text': 'IoT', 'indices': [23, 27]}, {'text': 'SmartCities', 'indices': [35, 47]}, {'text': 'BigData', 'indices': [88, 96]}, {'text': 'DataScience', 'indices': [97, 109]}, {'text': 'abdsc', 'indices': [110, 116]}, {'text': 'EdgeAnalytics', 'indices': [117, 131]}, {'text': 'PredictiveAnalytics', 'indices': [132, 152]}, {'text': 'AI', 'indices': [153, 156]}, {'text': 'MachineLearning', 'indices': [157, 173]}, {'text': 'IIoT', 'indices': [174, 179]}, {'text': 'ConnectedProducts', 'indices': [180, 198]}, {'text': 'SmartHomes', 'indices': [199, 210]}, {'text': 'DigitalTransformation', 'indices': [211, 233]}, {'text': 'Sensors', 'indices': [234, 242]}, {'text': 'EmergingT', 'indices': [243, 253]}]"
1118678197829361664,2019-04-18 00:50:41,"RT DeepLearn007 ""RT DeepLearn007: An Excellent Read: A Deep Dive into #DeepLearning
SpirosMargaris JimMarous Xbond49 psb_dc TheRudinGroup ahier pierrepinna RosyCoaching  ipfconline1 TopCyberNews #AI #MachineLearning #BigData #Datascience #Fintech #Ma… https://t.co/pecMWmEnx6""",Mahavira Paris,ParisMahavira,132,175,0,0,"[{'text': 'DeepLearning', 'indices': [70, 83]}, {'text': 'AI', 'indices': [195, 198]}, {'text': 'MachineLearning', 'indices': [199, 215]}, {'text': 'BigData', 'indices': [216, 224]}, {'text': 'Datascience', 'indices': [225, 237]}, {'text': 'Fintech', 'indices': [238, 246]}, {'text': 'Ma', 'indices': [247, 250]}]"
1118678138865635328,2019-04-18 00:50:26,"@damned_men @smita_muk @AbhiFour @narendramodi @BJP4India 😀🤣😀🤣 Typical name calling pattern of frustrated Congis as per #DataScience revelations. While data science AI blockchain that are a focal point in #SankalpPatra2019, terms like “artificial intelligence” or “robotics” don’t even feature in the 55-page #congressmainfesto2019!! https://t.co/64OXQyleDy",Ratnesh A Desai,RatneshADesai,38,53,1,1,"[{'text': 'DataScience', 'indices': [120, 132]}, {'text': 'SankalpPatra2019', 'indices': [205, 222]}, {'text': 'congressmainfesto2019', 'indices': [309, 331]}]"
1118677850683523073,2019-04-18 00:49:18,"12 excellent selected articles on #DataScience at @DataScienceCtrl https://t.co/Sw6sc5OYXw 

#BigData #abdsc #MachineLearning #DeepLearning #AI #Statistics #DataViz #DataScientists #Python #Rstats #Coding https://t.co/YF2f6IAmkh",Kirk Borne,KirkDBorne,21488,228184,2,1,"[{'text': 'DataScience', 'indices': [34, 46]}, {'text': 'BigData', 'indices': [93, 101]}, {'text': 'abdsc', 'indices': [102, 108]}, {'text': 'MachineLearning', 'indices': [109, 125]}, {'text': 'DeepLearning', 'indices': [126, 139]}, {'text': 'AI', 'indices': [140, 143]}, {'text': 'Statistics', 'indices': [144, 155]}, {'text': 'DataViz', 'indices': [156, 164]}, {'text': 'DataScientists', 'indices': [165, 180]}, {'text': 'Python', 'indices': [181, 188]}, {'text': 'Rstats', 'indices': [189, 196]}, {'text': 'Coding', 'indices': [197, 204]}]"
1118677828290002945,2019-04-18 00:49:12,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking https://t.co/EZYRX6u994 #DataScience,nana🦄,DD_NaNa_,12096,27598,1,0,"[{'text': 'DataScience', 'indices': [118, 130]}]"
1118677808421593090,2019-04-18 00:49:08,Anyone can be a #data musician now! https://t.co/h47KwjoD31 @TDataScience @Medium #DataScience #Music #medium,Raivat Shah,RaivatShah,669,352,0,0,"[{'text': 'data', 'indices': [16, 21]}, {'text': 'DataScience', 'indices': [82, 94]}, {'text': 'Music', 'indices': [95, 101]}, {'text': 'medium', 'indices': [102, 109]}]"
