id,created_at,text,user,screen_name,friends_count,followers_count,retweet_count,favorite_count,Hashtags
1118676868876705793,2019-04-18 00:45:24,"Learn SSRS SQL Reporting &amp; #BusinessIntelligence Essentials

https://t.co/YhcLeRuZtN

#SAP #SQLServer #SQL #AI #DataScience #BI #BigData #Analytics #DataAnalytics #dataviz #ML #DL #DevOps #Coding #Code #100DaysofCode #tech #IoT #tableau #Algorithms #Business",Jamil Ahmed,ahmedjr_16,27347,25630,0,0,"[{'text': 'BusinessIntelligence', 'indices': [31, 52]}, {'text': 'SAP', 'indices': [90, 94]}, {'text': 'SQLServer', 'indices': [95, 105]}, {'text': 'SQL', 'indices': [106, 110]}, {'text': 'AI', 'indices': [111, 114]}, {'text': 'DataScience', 'indices': [115, 127]}, {'text': 'BI', 'indices': [128, 131]}, {'text': 'BigData', 'indices': [132, 140]}, {'text': 'Analytics', 'indices': [141, 151]}, {'text': 'DataAnalytics', 'indices': [152, 166]}, {'text': 'dataviz', 'indices': [167, 175]}, {'text': 'ML', 'indices': [176, 179]}, {'text': 'DL', 'indices': [180, 183]}, {'text': 'DevOps', 'indices': [184, 191]}, {'text': 'Coding', 'indices': [192, 199]}, {'text': 'Code', 'indices': [200, 205]}, {'text': '100DaysofCode', 'indices': [206, 220]}, {'text': 'tech', 'indices': [221, 226]}, {'text': 'IoT', 'indices': [227, 231]}, {'text': 'tableau', 'indices': [232, 240]}, {'text': 'Algorithms', 'indices': [241, 252]}, {'text': 'Business', 'indices': [253, 262]}]"
1118676113859981312,2019-04-18 00:42:24,"Thanks in advance for not freezing my credit card when purchasing one too many dog bowties....ah the power of #AI and #ML ! 

@Teradata @usbank  https://t.co/uKWp3le9fg",Brittany Chow,bchow03,148,110,1,4,"[{'text': 'AI', 'indices': [110, 113]}, {'text': 'ML', 'indices': [118, 121]}]"
1118673101082857473,2019-04-18 00:30:25,"Listen to the LIVE panel discussion on the latest trends of natural language processing: https://t.co/LoGTet4u6t 

#AI #ML #NLU #NLP #chatbot #BotTO https://t.co/t4LZyezmAZ",Eddy Travels,eddytravels,130,51,3,4,"[{'text': 'AI', 'indices': [115, 118]}, {'text': 'ML', 'indices': [119, 122]}, {'text': 'NLU', 'indices': [123, 127]}, {'text': 'NLP', 'indices': [128, 132]}, {'text': 'chatbot', 'indices': [133, 141]}, {'text': 'BotTO', 'indices': [142, 148]}]"
1118671829885841415,2019-04-18 00:25:22,#SAPPHIRENOW #musician #rocknroll #innovation #grateful #talent #fellowmusiciansunite #creativity #newbusinessmodels #AI #ML #cloudplatform #SAP https://t.co/WUFVc8nmju,James J. Piacentino,jamespiacentino,78,167,0,0,"[{'text': 'SAPPHIRENOW', 'indices': [0, 12]}, {'text': 'musician', 'indices': [13, 22]}, {'text': 'rocknroll', 'indices': [23, 33]}, {'text': 'innovation', 'indices': [34, 45]}, {'text': 'grateful', 'indices': [46, 55]}, {'text': 'talent', 'indices': [56, 63]}, {'text': 'fellowmusiciansunite', 'indices': [64, 85]}, {'text': 'creativity', 'indices': [86, 97]}, {'text': 'newbusinessmodels', 'indices': [98, 116]}, {'text': 'AI', 'indices': [117, 120]}, {'text': 'ML', 'indices': [121, 124]}, {'text': 'cloudplatform', 'indices': [125, 139]}, {'text': 'SAP', 'indices': [140, 144]}]"
1118670613730615297,2019-04-18 00:20:32,"Agree. Common misconception - #ML bias will solely be bias against ‘people’ but it won’t. As #5G penetrates, bias will be #sensor related: industrial, energy, cameras, logistics, #IPs and threats eg. turbine, finance or grid failures not cancer or criminals. @galipeau @MIT_CSAIL https://t.co/20VHfMKclR",Citizen4.0,Citizen4_0,15,3,1,1,"[{'text': 'ML', 'indices': [30, 33]}, {'text': '5G', 'indices': [93, 96]}, {'text': 'sensor', 'indices': [122, 129]}, {'text': 'IPs', 'indices': [179, 183]}]"
1118669614857089026,2019-04-18 00:16:34,Without saying it https://t.co/nc6XJdJVfs Bengio's finger is pointed directly at Hinton &amp; Google https://t.co/ehCrTIZxe8 #ML #AI #aiethics,Andrew Grosser,andrewgrosser,183,578,0,1,"[{'text': 'ML', 'indices': [125, 128]}, {'text': 'AI', 'indices': [129, 132]}, {'text': 'aiethics', 'indices': [133, 142]}]"
1118669347080278017,2019-04-18 00:15:30,"RT Ronald_vanLoon ""This mind-reading #AI can see what you're thinking - and draw a picture of it
by jezardscribe1 wef |

 #Artificialintelligence #ML #MachineLearning #Robotics #Automation #SmartTech #Algorithm #DeepLearning  #DL #RT … https://t.co/7g9Dh4e65N""",Ywan van Loon,YwanVanLoon,4010,4584,1,0,"[{'text': 'AI', 'indices': [37, 40]}, {'text': 'Artificialintelligence', 'indices': [122, 145]}, {'text': 'ML', 'indices': [146, 149]}, {'text': 'MachineLearning', 'indices': [150, 166]}, {'text': 'Robotics', 'indices': [167, 176]}, {'text': 'Automation', 'indices': [177, 188]}, {'text': 'SmartTech', 'indices': [189, 199]}, {'text': 'Algorithm', 'indices': [200, 210]}, {'text': 'DeepLearning', 'indices': [211, 224]}, {'text': 'DL', 'indices': [226, 229]}, {'text': 'RT', 'indices': [230, 233]}]"
1118668623520780288,2019-04-18 00:12:38,Jazz #ML #NBA,thetipsman,thetipsguru,2168,5432,0,0,"[{'text': 'ML', 'indices': [5, 8]}, {'text': 'NBA', 'indices': [9, 13]}]"
1118668418260111360,2019-04-18 00:11:49,Word(s) of the day: Artificial Intelligence. Check out our apparel!! #datascience #artificialintelligence #machinelearning #ai #ml #cloudcomputing #bigdata #bigdataanalytics #analytics #fintech #neuralnetworks #python #hadoop #deeplearning https://t.co/ae2sxiBwlg,AI Apparel,AIApparelStore,483,236,5,0,"[{'text': 'datascience', 'indices': [69, 81]}, {'text': 'artificialintelligence', 'indices': [82, 105]}, {'text': 'machinelearning', 'indices': [106, 122]}, {'text': 'ai', 'indices': [123, 126]}, {'text': 'ml', 'indices': [127, 130]}, {'text': 'cloudcomputing', 'indices': [131, 146]}, {'text': 'bigdata', 'indices': [147, 155]}, {'text': 'bigdataanalytics', 'indices': [156, 173]}, {'text': 'analytics', 'indices': [174, 184]}, {'text': 'fintech', 'indices': [185, 193]}, {'text': 'neuralnetworks', 'indices': [194, 209]}, {'text': 'python', 'indices': [210, 217]}, {'text': 'hadoop', 'indices': [218, 225]}, {'text': 'deeplearning', 'indices': [226, 239]}]"
1118668086809436163,2019-04-18 00:10:30,ผลตอบแทนจากการ #ลงทุน ใน #forex เช้าวันที่ 18/04/2019 โดยใช้ #AI แบบ #ML https://t.co/OTIyRC1Bbs,nakikaede,nakikaede,1784,347,0,0,"[{'text': 'ลงทุน', 'indices': [15, 21]}, {'text': 'forex', 'indices': [25, 31]}, {'text': 'AI', 'indices': [61, 64]}, {'text': 'ML', 'indices': [69, 72]}]"
1118667675427717120,2019-04-18 00:08:52,"Our own Mangirdas Adomaitis is sharing the pros and cons of using off-the-shelf solutions for building chatbots vs open source! 

Follow our journey LIVE: https://t.co/LoGTet4u6t

#AI #ML #NLU #NLP #chatbot #BotTO https://t.co/Wg8u8Dm91v",Eddy Travels,eddytravels,130,51,2,2,"[{'text': 'AI', 'indices': [180, 183]}, {'text': 'ML', 'indices': [184, 187]}, {'text': 'NLU', 'indices': [188, 192]}, {'text': 'NLP', 'indices': [193, 197]}, {'text': 'chatbot', 'indices': [198, 206]}, {'text': 'BotTO', 'indices': [207, 213]}]"
1118667352097292288,2019-04-18 00:07:35,"This mind-reading #AI can see what you're thinking - and draw a picture of it
by @jezardscribe1 @wef |

 #Artificialintelligence #ML #MachineLearning #Robotics #Automation #SmartTech #Algorithm #DeepLearning  #DL #RT https://t.co/St3wP0IBBn https://t.co/WQ5NFcSYXv https://t.co/ervqwfZdbE",Ronald van Loon,Ronald_vanLoon,181870,180999,8,3,"[{'text': 'AI', 'indices': [18, 21]}, {'text': 'Artificialintelligence', 'indices': [105, 128]}, {'text': 'ML', 'indices': [129, 132]}, {'text': 'MachineLearning', 'indices': [133, 149]}, {'text': 'Robotics', 'indices': [150, 159]}, {'text': 'Automation', 'indices': [160, 171]}, {'text': 'SmartTech', 'indices': [172, 182]}, {'text': 'Algorithm', 'indices': [183, 193]}, {'text': 'DeepLearning', 'indices': [194, 207]}, {'text': 'DL', 'indices': [209, 212]}, {'text': 'RT', 'indices': [213, 216]}]"
1118665902231359490,2019-04-18 00:01:49,Deep learning for cancer type classification | bioRxiv https://t.co/UpA1hjmbUG #ai #ml #dl,AI News Feed,AINewsFeed,4163,5689,0,1,"[{'text': 'ai', 'indices': [79, 82]}, {'text': 'ml', 'indices': [83, 86]}, {'text': 'dl', 'indices': [87, 90]}]"
1118665753169776640,2019-04-18 00:01:14,"Bay Area friends, if you're looking for something thoughtful (and thought-provoking) tonight, check out our Chief Scientist @rajhans_samdani and other leading #ML minds on this panel! https://t.co/MG21exfgaT",Spoke,askspoke,367,724,2,5,"[{'text': 'ML', 'indices': [159, 162]}]"
1118665562039758848,2019-04-18 00:00:28,Better monitoring intelligence and proactive efforts to assist technology teams.  https://t.co/ITjALDJVAi #it #data #ml #learn #alert #sre,benmorris,benmorris,3606,1190,0,0,"[{'text': 'it', 'indices': [106, 109]}, {'text': 'data', 'indices': [110, 115]}, {'text': 'ml', 'indices': [116, 119]}, {'text': 'learn', 'indices': [120, 126]}, {'text': 'alert', 'indices': [127, 133]}, {'text': 'sre', 'indices': [134, 138]}]"
1118664642757365762,2019-04-17 23:56:49,The Coming Regulation of Artificial Intelligence?  EU Publishes AI Guidelines | News &amp; Insights | ... https://t.co/giUjCKaZQl #ai #ml #dl,AI News Feed,AINewsFeed,4163,5689,0,0,"[{'text': 'ai', 'indices': [130, 133]}, {'text': 'ml', 'indices': [134, 137]}, {'text': 'dl', 'indices': [138, 141]}]"
