id,created_at,text,user,screen_name,friends_count,followers_count,retweet_count,favorite_count
1115090899778686977,2019-04-08 03:16:02,b'RT @Ronald_vanLoon: #DataScience Resources : Cheat Sheets\n by @DataScienceFree | \n\nRead full article here: https://t.co/r5FgYLwFex\n\n #ML #M\xe2\x80\xa6',freetoopt,freetoopt,0,145,2,0
1115090739728453632,2019-04-08 03:15:24,b'RT @Rom_Duck: The #Regtech World \n\nvia @ravikikan #MachineLearning #Robots #Infographics #startups #tech #DataScience #InternetOfThings #ar\xe2\x80\xa6',DinfoMall.com™ Deals,dinfomall,3806,15532,8,0
1115090456646385664,2019-04-08 03:14:16,"b""RT @schmarzo: My podcast with @strong_science about similarities between #BigData / #IoT and #SportsScience. Hint: it's #DataScience! \n\nhtt\xe2\x80\xa6""",IoT Disruption,IoTtogether,76,1365,3,0
1115090437235183616,2019-04-08 03:14:12,"b'RT Ronald_vanLoon ""#DataScience Resources : Cheat Sheets\n by DataScienceFree | \n\nRead full article here:\xe2\x80\xa6 https://t.co/fDUpgFqPlN'",Ywan van Loon,YwanVanLoon,4016,4585,0,0
1115090428917841920,2019-04-08 03:14:10,b'RT @ravikikan: #Mobile #Analytics \n\nvia @ravikikan &gt; #MachineLearning #Infographics #tech #InternetOfThings #artificialintelligence #iot @S\xe2\x80\xa6',Frank🏳️‍🌈,Carmen22880071,796,179,8,0
1115090404167364609,2019-04-08 03:14:04,"b'RT @IainLJBrown: Artificial intelligence in Australia needs to get ethical, so we have a plan - The Conversation AU\n\nRead more here: https:\xe2\x80\xa6'",Frank🏳️‍🌈,Carmen22880071,796,179,38,0
1115090328489320449,2019-04-08 03:13:46,b'RT @tomkXY: Goes for any service or organisation but especially @DataCamp at the moment. Make sure you are aware of what is going on and de\xe2\x80\xa6',Michael H (Dr H),mrhunsaker,4597,3180,7,0
1115090122154942464,2019-04-08 03:12:57,b'RT @VizWorld: 10 Predictive Analytics Use Cases https://t.co/BaFuhbbJoo #Learning #PredictiveAnalytics #BigData #DataScience https://t.co/l\xe2\x80\xa6',DQ,dqserv,33,282,1,0
1115090106354782208,2019-04-08 03:12:53,b'RT @tomkXY: Goes for any service or organisation but especially @DataCamp at the moment. Make sure you are aware of what is going on and de\xe2\x80\xa6',Justin Kiggins,neuromusic,1108,5788,7,0
1115090088080355328,2019-04-08 03:12:49,"b""RT @schmarzo: My podcast with @strong_science about similarities between #BigData / #IoT and #SportsScience. Hint: it's #DataScience! \n\nhtt\xe2\x80\xa6""",DQ,dqserv,33,282,3,0
