id,created_at,text,user,screen_name,friends_count,followers_count,retweet_count,favorite_count,Hashtags
1117997404681150464,2019-04-16 03:45:27,"A new set of guidelines have been released for ensuring that #AI is “trustworthy.” The principles provide a good starting to figure out whether new AI systems are ethical.
https://t.co/Wrsf3D4zUH",Akhilesh Tuteja,AkhileshTuteja,8,932,0,0,"[{'text': 'AI', 'indices': [61, 64]}]"
1117997401103581184,2019-04-16 03:45:26,"25 Best #ReactJS Tutorial, Course, Training, and Certification

https://t.co/89C6k3FPDm

#React #javascript #Java #js #javascript30 #javafx #node #AI #javascript #css3 #html5 #webdev #webdesign #100daysofCode #DevOps #Tech #Code #gamedev #IoT #coding #Unity #IT #Webdevepment",Jamil Ahmed,ahmedjr_16,27368,25630,2,0,"[{'text': 'ReactJS', 'indices': [8, 16]}, {'text': 'React', 'indices': [89, 95]}, {'text': 'javascript', 'indices': [96, 107]}, {'text': 'Java', 'indices': [108, 113]}, {'text': 'js', 'indices': [114, 117]}, {'text': 'javascript30', 'indices': [118, 131]}, {'text': 'javafx', 'indices': [132, 139]}, {'text': 'node', 'indices': [140, 145]}, {'text': 'AI', 'indices': [146, 149]}, {'text': 'javascript', 'indices': [150, 161]}, {'text': 'css3', 'indices': [162, 167]}, {'text': 'html5', 'indices': [168, 174]}, {'text': 'webdev', 'indices': [175, 182]}, {'text': 'webdesign', 'indices': [183, 193]}, {'text': '100daysofCode', 'indices': [194, 208]}, {'text': 'DevOps', 'indices': [209, 216]}, {'text': 'Tech', 'indices': [217, 222]}, {'text': 'Code', 'indices': [223, 228]}, {'text': 'gamedev', 'indices': [229, 237]}, {'text': 'IoT', 'indices': [238, 242]}, {'text': 'coding', 'indices': [243, 250]}, {'text': 'Unity', 'indices': [251, 257]}, {'text': 'IT', 'indices': [258, 261]}, {'text': 'Webdevepment', 'indices': [262, 275]}]"
1117997315925499905,2019-04-16 03:45:06,"The never ending story... https://t.co/ekadeGCdTT via @chidambara09 
#bank #AI
#datascientist #iot #healthtech
#ecommerce #traders #DigitalMarketing
#dataScience #iosdev #androiddev 
#business #bigdata #marketing 
#analytics",Chidambara .ML.,chidambara09,13,4468,0,0,"[{'text': 'bank', 'indices': [69, 74]}, {'text': 'AI', 'indices': [75, 78]}, {'text': 'datascientist', 'indices': [79, 93]}, {'text': 'iot', 'indices': [94, 98]}, {'text': 'healthtech', 'indices': [99, 110]}, {'text': 'ecommerce', 'indices': [111, 121]}, {'text': 'traders', 'indices': [122, 130]}, {'text': 'DigitalMarketing', 'indices': [131, 148]}, {'text': 'dataScience', 'indices': [149, 161]}, {'text': 'iosdev', 'indices': [162, 169]}, {'text': 'androiddev', 'indices': [170, 181]}, {'text': 'business', 'indices': [183, 192]}, {'text': 'bigdata', 'indices': [193, 201]}, {'text': 'marketing', 'indices': [202, 212]}, {'text': 'analytics', 'indices': [214, 224]}]"
1117997303019839489,2019-04-16 03:45:03,A Guide to Social Media Marketing 101 https://t.co/ky2fH86aGm #SocialMedia #SocialMediaMarketing #DigitalMarketing #ContentMarketing #GrowthHacking #Startups #SEO #SMM #Ecommerce #Marketing #InfluencerMarketing #deeplearning #ai #machinelearning #bigdata #datascience #fintech https://t.co/HULD35lCKb,John Abraham,iamjony94,7906,11558,0,0,"[{'text': 'SocialMedia', 'indices': [62, 74]}, {'text': 'SocialMediaMarketing', 'indices': [75, 96]}, {'text': 'DigitalMarketing', 'indices': [97, 114]}, {'text': 'ContentMarketing', 'indices': [115, 132]}, {'text': 'GrowthHacking', 'indices': [133, 147]}, {'text': 'Startups', 'indices': [148, 157]}, {'text': 'SEO', 'indices': [158, 162]}, {'text': 'SMM', 'indices': [163, 167]}, {'text': 'Ecommerce', 'indices': [168, 178]}, {'text': 'Marketing', 'indices': [179, 189]}, {'text': 'InfluencerMarketing', 'indices': [190, 210]}, {'text': 'deeplearning', 'indices': [211, 224]}, {'text': 'ai', 'indices': [225, 228]}, {'text': 'machinelearning', 'indices': [229, 245]}, {'text': 'bigdata', 'indices': [246, 254]}, {'text': 'datascience', 'indices': [255, 267]}, {'text': 'fintech', 'indices': [268, 276]}]"
1117997292177494016,2019-04-16 03:45:00,The Secret Technology That Is Taking #ArtificialIntelligence To New Places via @jeffbullas https://t.co/bx0gWjmtsq #AI #martech19 #MarketingTrends,Michael Bell 🤓💻,staroneconsult,11749,11366,0,0,"[{'text': 'ArtificialIntelligence', 'indices': [37, 60]}, {'text': 'AI', 'indices': [115, 118]}, {'text': 'martech19', 'indices': [119, 129]}, {'text': 'MarketingTrends', 'indices': [130, 146]}]"
1117997167124283392,2019-04-16 03:44:30,"Full house Q&amp;A #HAS2019 with #CyberSecurity &amp; #trust foregrounded - Ken Hu, Rotating Chairman stresses it's a technical issue not geopolitical with collaboration + standards key to reduce #risk of fragmentation &amp; it's cost &amp; speed implications #innovation #FutureofWork #AI #Tech https://t.co/TfuS00iy2Q",Sally Eaves #UN #SXSW,sallyeaves,77856,88710,2,3,"[{'text': 'HAS2019', 'indices': [19, 27]}, {'text': 'CyberSecurity', 'indices': [33, 47]}, {'text': 'trust', 'indices': [54, 60]}, {'text': 'risk', 'indices': [196, 201]}, {'text': 'innovation', 'indices': [260, 271]}, {'text': 'FutureofWork', 'indices': [272, 285]}, {'text': 'AI', 'indices': [286, 289]}, {'text': 'Tech', 'indices': [290, 295]}]"
1117997060513574913,2019-04-16 03:44:05,Italy's UniCredit to pay $1.3 billion to settle U.S. sanctions probe (Reuters) – Italy’s top bank UniCredit SpA and two subsidiaries have agreed to pay $ 1.3 billion to U.S. authorities to settle probes of violations of U.S. sanction... https://t.co/Qi0qIaObas #ai #data #bigdata,MoneyHealth &Finance,MoneyhealthF,7375,8315,0,0,"[{'text': 'ai', 'indices': [261, 264]}, {'text': 'data', 'indices': [265, 270]}, {'text': 'bigdata', 'indices': [271, 279]}]"
1117996981727547392,2019-04-16 03:43:46,DTMマストアイテム、まずはオーディオインターフェースを選ぼう。https://t.co/QB3VMGrqsF　#オーディオインターフェース #dtm #DAW #ableton #cubase #protools #studioOne #Logic #reaper #AI,C.C.KARASU,CCKARASU,286,253,0,0,"[{'text': 'オーディオインターフェース', 'indices': [56, 70]}, {'text': 'dtm', 'indices': [71, 75]}, {'text': 'DAW', 'indices': [76, 80]}, {'text': 'ableton', 'indices': [81, 89]}, {'text': 'cubase', 'indices': [90, 97]}, {'text': 'protools', 'indices': [98, 107]}, {'text': 'studioOne', 'indices': [108, 118]}, {'text': 'Logic', 'indices': [119, 125]}, {'text': 'reaper', 'indices': [126, 133]}, {'text': 'AI', 'indices': [134, 137]}]"
1117996908667183104,2019-04-16 03:43:29,How AI is Revolutionizing Global Logistics and Supply Chain Management - Artificial intelligence is tak https://t.co/s6ViBz1hR6 #ai,into.AI,into_AI,1744,18325,0,0,"[{'text': 'ai', 'indices': [128, 131]}]"
1117996908381970432,2019-04-16 03:43:28,How AI is Revolutionizing Global Logistics and Supply Chain Management - Artificial intelligence is tak https://t.co/Ey1Xorg0UD #ai,into.AI,into_AI,1744,18325,0,0,"[{'text': 'ai', 'indices': [128, 131]}]"
