id,created_at,text,user,screen_name,friends_count,followers_count,retweet_count,favorite_count,Hashtags
1117997909033799682,2019-04-16 03:47:27,"New special issue @JIB_DeGruyter 

https://t.co/OiOaOYbLQG

#bioinformatics #datascience #computationalbiology https://t.co/ZcQEo5rnNf",GenomeResearch,ResearchGenome,458,115,0,0,"[{'text': 'bioinformatics', 'indices': [60, 75]}, {'text': 'datascience', 'indices': [76, 88]}, {'text': 'computationalbiology', 'indices': [89, 110]}]"
1117997805849784320,2019-04-16 03:47:02,Top 5 Applications of GANs in the Deep Learning Industry https://t.co/inRUfrmNgO #Learning #MachineLearning #DataScience https://t.co/GoHFw9f0M8,VizWorld™,VizWorld,6468,9375,0,0,"[{'text': 'Learning', 'indices': [81, 90]}, {'text': 'MachineLearning', 'indices': [91, 107]}, {'text': 'DataScience', 'indices': [108, 120]}]"
1117997315925499905,2019-04-16 03:45:06,"The never ending story... https://t.co/ekadeGCdTT via @chidambara09 
#bank #AI
#datascientist #iot #healthtech
#ecommerce #traders #DigitalMarketing
#dataScience #iosdev #androiddev 
#business #bigdata #marketing 
#analytics",Chidambara .ML.,chidambara09,13,4468,0,0,"[{'text': 'bank', 'indices': [69, 74]}, {'text': 'AI', 'indices': [75, 78]}, {'text': 'datascientist', 'indices': [79, 93]}, {'text': 'iot', 'indices': [94, 98]}, {'text': 'healthtech', 'indices': [99, 110]}, {'text': 'ecommerce', 'indices': [111, 121]}, {'text': 'traders', 'indices': [122, 130]}, {'text': 'DigitalMarketing', 'indices': [131, 148]}, {'text': 'dataScience', 'indices': [149, 161]}, {'text': 'iosdev', 'indices': [162, 169]}, {'text': 'androiddev', 'indices': [170, 181]}, {'text': 'business', 'indices': [183, 192]}, {'text': 'bigdata', 'indices': [193, 201]}, {'text': 'marketing', 'indices': [202, 212]}, {'text': 'analytics', 'indices': [214, 224]}]"
1117997303019839489,2019-04-16 03:45:03,A Guide to Social Media Marketing 101 https://t.co/ky2fH86aGm #SocialMedia #SocialMediaMarketing #DigitalMarketing #ContentMarketing #GrowthHacking #Startups #SEO #SMM #Ecommerce #Marketing #InfluencerMarketing #deeplearning #ai #machinelearning #bigdata #datascience #fintech https://t.co/HULD35lCKb,John Abraham,iamjony94,7906,11558,0,0,"[{'text': 'SocialMedia', 'indices': [62, 74]}, {'text': 'SocialMediaMarketing', 'indices': [75, 96]}, {'text': 'DigitalMarketing', 'indices': [97, 114]}, {'text': 'ContentMarketing', 'indices': [115, 132]}, {'text': 'GrowthHacking', 'indices': [133, 147]}, {'text': 'Startups', 'indices': [148, 157]}, {'text': 'SEO', 'indices': [158, 162]}, {'text': 'SMM', 'indices': [163, 167]}, {'text': 'Ecommerce', 'indices': [168, 178]}, {'text': 'Marketing', 'indices': [179, 189]}, {'text': 'InfluencerMarketing', 'indices': [190, 210]}, {'text': 'deeplearning', 'indices': [211, 224]}, {'text': 'ai', 'indices': [225, 228]}, {'text': 'machinelearning', 'indices': [229, 245]}, {'text': 'bigdata', 'indices': [246, 254]}, {'text': 'datascience', 'indices': [255, 267]}, {'text': 'fintech', 'indices': [268, 276]}]"
1117996861996949505,2019-04-16 03:43:17,"""Data Scientists are hired to help the company achieve this goal. How do you define “making money”""? ~Dominik Haitz

#DataAnalytics #DataScientist #DataScience #BigDataAnalytics #BigData #Hire #MoneyMaking #data #data_science #data_scientist #make_money #money #company #quote",LOTFINEJAD,lotfinejad,117,64,0,0,"[{'text': 'DataAnalytics', 'indices': [117, 131]}, {'text': 'DataScientist', 'indices': [132, 146]}, {'text': 'DataScience', 'indices': [147, 159]}, {'text': 'BigDataAnalytics', 'indices': [160, 177]}, {'text': 'BigData', 'indices': [178, 186]}, {'text': 'Hire', 'indices': [187, 192]}, {'text': 'MoneyMaking', 'indices': [193, 205]}, {'text': 'data', 'indices': [206, 211]}, {'text': 'data_science', 'indices': [212, 225]}, {'text': 'data_scientist', 'indices': [226, 241]}, {'text': 'make_money', 'indices': [242, 253]}, {'text': 'money', 'indices': [254, 260]}, {'text': 'company', 'indices': [261, 269]}, {'text': 'quote', 'indices': [270, 276]}]"
1117996325734371329,2019-04-16 03:41:10,╚8SÀ#k #crypto #bitcoin #java #competition #influencer #datascience #fintech #science #EU https://t.co/lve57q6Gai https://t.co/GSs8gUP97Z,semigoose,semigoose1,4562,4584,0,0,"[{'text': 'crypto', 'indices': [7, 14]}, {'text': 'bitcoin', 'indices': [15, 23]}, {'text': 'java', 'indices': [24, 29]}, {'text': 'competition', 'indices': [30, 42]}, {'text': 'influencer', 'indices': [43, 54]}, {'text': 'datascience', 'indices': [55, 67]}, {'text': 'fintech', 'indices': [68, 76]}, {'text': 'science', 'indices': [77, 85]}, {'text': 'EU', 'indices': [86, 89]}]"
1117995822803603457,2019-04-16 03:39:10,"https://t.co/K8OrGo492p Library - P2P file catalog and marketplace with intelligent search engine and blockchain payments https://t.co/wFAEAWTq4Z 
SUBSCRIBE and Thumbs up
#blockchain #ponderist #bitcoin #ico #cryptonews #datascience #searchengine",Denise W,DeniseCa11,4228,143,2,0,"[{'text': 'blockchain', 'indices': [171, 182]}, {'text': 'ponderist', 'indices': [183, 193]}, {'text': 'bitcoin', 'indices': [194, 202]}, {'text': 'ico', 'indices': [203, 207]}, {'text': 'cryptonews', 'indices': [208, 219]}, {'text': 'datascience', 'indices': [220, 232]}, {'text': 'searchengine', 'indices': [233, 246]}]"
1117995575620853761,2019-04-16 03:38:11,"The #AnalyticIching: The essay explains ideas from #Jüng, #Leibniz and #iching via metaphors to #DataScience, #Thermodynamics &amp; #SocialPhysics. It is unintentionally very #TerenceMckenna... 

oh &amp; there's interdimensional #Origami for an eastern trifecta.

https://t.co/20nST8lKyS https://t.co/ZWZcCd44od",Good Will Radley,dcunit3d,2407,622,1,0,"[{'text': 'AnalyticIching', 'indices': [4, 19]}, {'text': 'Jüng', 'indices': [51, 56]}, {'text': 'Leibniz', 'indices': [58, 66]}, {'text': 'iching', 'indices': [71, 78]}, {'text': 'DataScience', 'indices': [96, 108]}, {'text': 'Thermodynamics', 'indices': [110, 125]}, {'text': 'SocialPhysics', 'indices': [132, 146]}, {'text': 'TerenceMckenna', 'indices': [175, 190]}, {'text': 'Origami', 'indices': [230, 238]}]"
1117995563234947073,2019-04-16 03:38:08,Tips For A Successful #MobileMarketing campaign https://t.co/izu6HxXqIt  #DigitalMarketing #GrowthHacking #fintech #BigData #MachineLearning #DataScience #defstar5 #startups #makeyourownlane #Advertising #DataAnalytics #AffiliateMarketing #onlinemarketing #webdevelopment,rHour,rHour,133,293,1,2,"[{'text': 'MobileMarketing', 'indices': [22, 38]}, {'text': 'DigitalMarketing', 'indices': [73, 90]}, {'text': 'GrowthHacking', 'indices': [91, 105]}, {'text': 'fintech', 'indices': [106, 114]}, {'text': 'BigData', 'indices': [115, 123]}, {'text': 'MachineLearning', 'indices': [124, 140]}, {'text': 'DataScience', 'indices': [141, 153]}, {'text': 'defstar5', 'indices': [154, 163]}, {'text': 'startups', 'indices': [164, 173]}, {'text': 'makeyourownlane', 'indices': [174, 190]}, {'text': 'Advertising', 'indices': [191, 203]}, {'text': 'DataAnalytics', 'indices': [204, 218]}, {'text': 'AffiliateMarketing', 'indices': [219, 238]}, {'text': 'onlinemarketing', 'indices': [239, 255]}, {'text': 'webdevelopment', 'indices': [256, 271]}]"
1117995356036521984,2019-04-16 03:37:18,"The Difference Between Big Data and Machine Learning - Business 2 Community
Read more here: https://t.co/8k9AXXlCke

#BigData #DataScience #MachineLearning #DeepLearning #NLP #Robots #AI #IoT #Finserv",Colin Bristow,BristowColin,7543,11959,2,1,"[{'text': 'BigData', 'indices': [117, 125]}, {'text': 'DataScience', 'indices': [126, 138]}, {'text': 'MachineLearning', 'indices': [139, 155]}, {'text': 'DeepLearning', 'indices': [156, 169]}, {'text': 'NLP', 'indices': [170, 174]}, {'text': 'Robots', 'indices': [175, 182]}, {'text': 'AI', 'indices': [183, 186]}, {'text': 'IoT', 'indices': [187, 191]}, {'text': 'Finserv', 'indices': [192, 200]}]"
