id,created_at,text,user,screen_name,friends_count,followers_count,retweet_count,favorite_count,Hashtags
1117997578497462277,2019-04-16 03:46:08,How AI and big data analytics keep the most innovative companies ahead of the pack - https://t.co/mJTiXijxuT via @Cloud_Comp_News #Tech #AI #ML,Ideaspring Capital,IdeaspringCap,226,361,0,0,"[{'text': 'Tech', 'indices': [130, 135]}, {'text': 'AI', 'indices': [136, 139]}, {'text': 'ML', 'indices': [140, 143]}]"
1117997373223919616,2019-04-16 03:45:19,"想找个人聊聊天，内容随意
我在这里等你:https://t.co/u5aCaw5MQP
不知道有没有人愿意
#交友 #约炮 #华人 #寻约 #一对一视频 #裸足 #野外摄影 #乌海 #马来西亚 #广州约炮 #日本 #ml #约炮 #国产视频 #诱惑 #ol #浪货 #美逼 #宝马 https://t.co/IKe7WnTxex",雪桃,JwWH5RBqZ2I4,0,0,0,0,"[{'text': '交友', 'indices': [54, 57]}, {'text': '约炮', 'indices': [58, 61]}, {'text': '华人', 'indices': [62, 65]}, {'text': '寻约', 'indices': [66, 69]}, {'text': '一对一视频', 'indices': [70, 76]}, {'text': '裸足', 'indices': [77, 80]}, {'text': '野外摄影', 'indices': [81, 86]}, {'text': '乌海', 'indices': [87, 90]}, {'text': '马来西亚', 'indices': [91, 96]}, {'text': '广州约炮', 'indices': [97, 102]}, {'text': '日本', 'indices': [103, 106]}, {'text': 'ml', 'indices': [107, 110]}, {'text': '约炮', 'indices': [111, 114]}, {'text': '国产视频', 'indices': [115, 120]}, {'text': '诱惑', 'indices': [121, 124]}, {'text': 'ol', 'indices': [125, 128]}, {'text': '浪货', 'indices': [129, 132]}, {'text': '美逼', 'indices': [133, 136]}, {'text': '宝马', 'indices': [137, 140]}]"
1117997169061978112,2019-04-16 03:44:31,"想找个人聊聊天，内容随意
不知道有没有人愿意
扫我下面吧
#交友 #约炮 #华人 #寻约 #一对一视频 #休斯顿约炮 #超跑 #小泽玛利亚 #ml #求约炮 #诱惑 #潜水 #洛杉矶交友 #嫩穴 #车友会 #护士 #性交 #sm #女神 https://t.co/IWBI8DV7m1",元灵,SgjSlU9UM7N4,3,0,0,0,"[{'text': '交友', 'indices': [29, 32]}, {'text': '约炮', 'indices': [33, 36]}, {'text': '华人', 'indices': [37, 40]}, {'text': '寻约', 'indices': [41, 44]}, {'text': '一对一视频', 'indices': [45, 51]}, {'text': '休斯顿约炮', 'indices': [52, 58]}, {'text': '超跑', 'indices': [59, 62]}, {'text': '小泽玛利亚', 'indices': [63, 69]}, {'text': 'ml', 'indices': [70, 73]}, {'text': '求约炮', 'indices': [74, 78]}, {'text': '诱惑', 'indices': [79, 82]}, {'text': '潜水', 'indices': [83, 86]}, {'text': '洛杉矶交友', 'indices': [87, 93]}, {'text': '嫩穴', 'indices': [94, 97]}, {'text': '车友会', 'indices': [98, 102]}, {'text': '护士', 'indices': [103, 106]}, {'text': '性交', 'indices': [107, 110]}, {'text': 'sm', 'indices': [111, 114]}, {'text': '女神', 'indices': [115, 118]}]"
1117996799216635904,2019-04-16 03:43:02,Edge TPU Devices #tpu #edge #google #ml #machinelearning https://t.co/aVGHY7EOts,HsiangHui,hsianghui,2273,3468,0,0,"[{'text': 'tpu', 'indices': [17, 21]}, {'text': 'edge', 'indices': [22, 27]}, {'text': 'google', 'indices': [28, 35]}, {'text': 'ml', 'indices': [36, 39]}, {'text': 'machinelearning', 'indices': [40, 56]}]"
1117996116799156224,2019-04-16 03:40:20,"你一个人在家都在干嘛呢？
有没有人跟我聊天的呀
扫我下面吧
#交友 #约炮 #华人 #寻约 #一对一视频 #小萝莉 #浙江 #乳交 #交友 #大学生 #威海 #福建约炮 #奶茶妹 #约啪 #萝莉套图 #101 #骚妇 #ml #外围 https://t.co/Q1MMQG9H3r",亦真,icteKK5KbcO0,0,0,0,0,"[{'text': '交友', 'indices': [30, 33]}, {'text': '约炮', 'indices': [34, 37]}, {'text': '华人', 'indices': [38, 41]}, {'text': '寻约', 'indices': [42, 45]}, {'text': '一对一视频', 'indices': [46, 52]}, {'text': '小萝莉', 'indices': [53, 57]}, {'text': '浙江', 'indices': [58, 61]}, {'text': '乳交', 'indices': [62, 65]}, {'text': '交友', 'indices': [66, 69]}, {'text': '大学生', 'indices': [70, 74]}, {'text': '威海', 'indices': [75, 78]}, {'text': '福建约炮', 'indices': [79, 84]}, {'text': '奶茶妹', 'indices': [85, 89]}, {'text': '约啪', 'indices': [90, 93]}, {'text': '萝莉套图', 'indices': [94, 99]}, {'text': '骚妇', 'indices': [105, 108]}, {'text': 'ml', 'indices': [109, 112]}, {'text': '外围', 'indices': [113, 116]}]"
1117995116667572229,2019-04-16 03:36:21,Why the antidote for multi-cloud complexity is a unified management strategy - #Tech #AI #ML #DeepTech https://t.co/bEYNFXPrUm via @Cloud_Comp_News,Ideaspring Capital,IdeaspringCap,226,361,1,1,"[{'text': 'Tech', 'indices': [79, 84]}, {'text': 'AI', 'indices': [85, 88]}, {'text': 'ML', 'indices': [89, 92]}, {'text': 'DeepTech', 'indices': [93, 102]}]"
1117993955763744768,2019-04-16 03:31:45,"你一个人在家都在干嘛呢？
有没有人跟我聊天的呀
扫我下面吧
#交友 #约炮 #华人 #寻约 #一对一视频 #名媛 #上海美女 #国内 #旧金山约炮 #母狗 #ml #se #mm #百富美 #小视频 #操逼 #交友平台 #上海交友 #奥克兰约炮 https://t.co/LOChbIIFor",水蓝,2NMqOV3oXTT4,3,0,0,0,"[{'text': '交友', 'indices': [30, 33]}, {'text': '约炮', 'indices': [34, 37]}, {'text': '华人', 'indices': [38, 41]}, {'text': '寻约', 'indices': [42, 45]}, {'text': '一对一视频', 'indices': [46, 52]}, {'text': '名媛', 'indices': [53, 56]}, {'text': '上海美女', 'indices': [57, 62]}, {'text': '国内', 'indices': [63, 66]}, {'text': '旧金山约炮', 'indices': [67, 73]}, {'text': '母狗', 'indices': [74, 77]}, {'text': 'ml', 'indices': [78, 81]}, {'text': 'se', 'indices': [82, 85]}, {'text': 'mm', 'indices': [86, 89]}, {'text': '百富美', 'indices': [90, 94]}, {'text': '小视频', 'indices': [95, 99]}, {'text': '操逼', 'indices': [100, 103]}, {'text': '交友平台', 'indices': [104, 109]}, {'text': '上海交友', 'indices': [110, 115]}, {'text': '奥克兰约炮', 'indices': [116, 122]}]"
1117993905004457985,2019-04-16 03:31:32,"Google launches AI Platform, a collaborative model-making tool for data scientists https://t.co/an3RmMmG2Q #AI #ML #MachineLearning #DeepLearning #DataScience #BigData #Analytics",RR,RetweetedRajeev,20,137,0,1,"[{'text': 'AI', 'indices': [107, 110]}, {'text': 'ML', 'indices': [111, 114]}, {'text': 'MachineLearning', 'indices': [115, 131]}, {'text': 'DeepLearning', 'indices': [132, 145]}, {'text': 'DataScience', 'indices': [146, 158]}, {'text': 'BigData', 'indices': [159, 167]}, {'text': 'Analytics', 'indices': [168, 178]}]"
1117993571645304837,2019-04-16 03:30:13,"Google launches AI Platform, a collaborative model-making tool for data scientists https://t.co/JJtbkldPbG #AI #ML #MachineLearning #DeepLearning #DataScience #BigData #Analytics",Dr. Rajeev Bukralia,rbukralia,4490,8657,0,1,"[{'text': 'AI', 'indices': [107, 110]}, {'text': 'ML', 'indices': [111, 114]}, {'text': 'MachineLearning', 'indices': [115, 131]}, {'text': 'DeepLearning', 'indices': [132, 145]}, {'text': 'DataScience', 'indices': [146, 158]}, {'text': 'BigData', 'indices': [159, 167]}, {'text': 'Analytics', 'indices': [168, 178]}]"
1117991874277494784,2019-04-16 03:23:28,"How #AI is helping banks prevent rogue trading
Banks are using machine learning #ML to monitor the everyday communications of their traders to predict rogue trading before it occurs. https://t.co/5b6EAHQw8b",Katie BennettStenton,katiebmarketing,1600,1108,0,1,"[{'text': 'AI', 'indices': [4, 7]}, {'text': 'ML', 'indices': [80, 83]}]"
